grievance_id,district,department,grievance_type,gps_match_flag,photo_uploaded,ivr_call_status,ivr_response,verification_status,reopen_flag
GJ-SWG-00001,Vadodara,Electricity,Garbage,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00002,Rajkot,Sanitation,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00003,Surat,Electricity,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00004,Surat,Sanitation,Drainage,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00005,Surat,Electricity,Power Cut,1,1,SUCCESS,2,FAILED,1
GJ-SWG-00006,Surat,Electricity,Power Cut,1,1,NO_RESPONSE,0,VERIFIED,0
GJ-SWG-00007,Ahmedabad,Water,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00008,Vadodara,Water,Drainage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00009,Rajkot,Roads,Pothole,0,1,NO_RESPONSE,0,FAILED,1
GJ-SWG-00010,Rajkot,Roads,Drainage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00011,Rajkot,Sanitation,Garbage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00012,Surat,Electricity,Pothole,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00013,Ahmedabad,Roads,Leakage,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00014,Vadodara,Water,Garbage,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00015,Ahmedabad,Electricity,Power Cut,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00016,Rajkot,Electricity,Garbage,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00017,Vadodara,Electricity,Leakage,1,0,FAILED,0,FAILED,1
GJ-SWG-00018,Rajkot,Sanitation,Drainage,1,0,SUCCESS,1,REOPENED,1
GJ-SWG-00019,Rajkot,Electricity,Power Cut,0,1,SUCCESS,2,REOPENED,1
GJ-SWG-00020,Rajkot,Water,Leakage,1,0,SUCCESS,1,FAILED,1
GJ-SWG-00021,Surat,Water,Power Cut,1,1,SUCCESS,2,REOPENED,1
GJ-SWG-00022,Ahmedabad,Electricity,Pothole,1,1,SUCCESS,1,VERIFIED,0
GJ-SWG-00023,Vadodara,Roads,Power Cut,0,1,NO_RESPONSE,0,FAILED,1
GJ-SWG-00024,Surat,Roads,Drainage,1,1,SUCCESS,2,REOPENED,1
